word,n
president,1920
trump,1460
campaign,869
u.s,857
russian,806
cohen,768
justice,706
russia,681
investigation,647
flynn,599
meeting,591
office,591
department,576
corney,554
email,533
mcgahn,514
counsel,499
told,496
president's,483
manafort,475
sessions,436
june,415
special,385
information,377
united,366
papadopoulos,332
election,319
fbi,306
statement,301
government,299
material,294
evidence,275
matter,253
kushner,250
time,250
officials,245
clinton,242
moscow,242
house,241
emails,237
foreign,232
section,231
ongoing,228
attorney,227
white,216
project,214
recalled,211
jr,209
priebus,209
conduct,205
crim,205
kislyak,205
personal,204
message,200
day,198
july,195
including,191
wikileaks,189
candidate,188
page,188
stated,187
michael,185
hicks,183
press,182
harm,180
director,177
fed,176
obstruction,175
statements,175
public,173
intelligence,169
official,168
counsel's,166
presidential,166
gates,164
call,162
letter,161
media,161
york,161
dmitriev,160
notes,160
national,158
discussed,155
contacts,154
fee,154
text,154
january,152
sanctions,152
ii,151
congress,150
kilimnik,150
mcfarland,149
werk,149
tower,148
organization,146
donald,144
response,143
a.m,142
criminal,142
bannon,141
times,141
criffl,140
putin,137
gru,135
committee,134
ira,134
individuals,133
interference,132
interview,132
law,132
policy,132
communications,130
request,130
simes,130
memorandum,128
march,127
lewandowski,126
post,126
prince,126
team,126
testimony,126
efforts,125
false,125
related,124
volume,122
met,121
called,120
hunt,119
nader,118
administration,114
account,113
u.s.c,113
p.m,111
political,111
act,110
advisor,108
al,107
spoke,106
person,105
publicly,105
senate,105
provided,104
contact,103
december,103
goldstone,103
paul,103
sater,103
documents,102
federal,102
questions,102
tweet,101
based,100
intent,100
porter,100
e.g,98
meet,98
washington,98
conversation,97
gordon,97
transition,96
dnc,94
ma,94
cong,93
accounts,92
cir,92
news,92
potential,92
business,91
3d,90
senior,90
ukraine,90
august,89
responded,89
security,89
id,88
mifsud,88
ambassador,87
question,87
support,87
describe,86
hillary,85
jury,85
messages,85
directed,84
decision,83
discussion,83
hearing,83
involved,81
release,81
executive,79
facebook,79
issues,79
recall,79
story,79
days,78
speech,78
corney's,77
offense,77
reported,77
april,76
deputy,76
elect,76
issue,76
preteeted,76
statutes,76
rosenstein,75
aware,74
constitutional,74
grand,74
received,74
people,73
agreement,72
believed,72
court,72
officers,72
substance,72
actions,71
acts,71
agalarov,71
events,71
period,71
report,71
stolen,71
approximately,70
discussions,70
indictment,70
matters,70
miller,70
record,70
gerson,69
october,69
party,69
prosecution,69
relevant,69
staff,69
written,69
acting,68
investigations,68
trump's,68
1et,67
direct,67
discuss,67
donaldson,67
november,67
records,67
september,67
authority,66
congressional,66
directly,66
mueller,66
predttet,66
russians,66
social,66
district,65
fire,65
proceeding,65
investigative,64
james,64
phone,64
provide,64
twitter,64
christie,63
corrupt,63
jan,63
meetings,63
continued,62
flynn's,62
informed,62
private,62
select,62
wrote,62
access,61
deripaska,61
included,61
february,60
incoming,60
minutes,60
conversations,59
dinner,59
iii,59
late,59
obstructive,59
power,59
supra,59
agency,58
feb,58
guilty,58
legal,58
mttterittl,58
