text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"@ScottMStedman Impeccable timing, isn’t it? I don’t believe it. He looks the worst ever after the #MuellerReport, y… https://t.co/4rK7i4s0yH",FALSE,0,ScottMStedman,2019-05-06T23:10:44Z,TRUE,1125516743974084608,1125538416618348545,870429873621172226,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",BoychukKaren,0,FALSE,FALSE,NA,NA
"RT @antfernee: In times of turmoil, it's good to reach out to your life coach and mentor.
#ImpeachTrump #teamtreason #PutinsPuppet #Mueller…",FALSE,0,NA,2019-05-06T23:10:42Z,FALSE,NA,1125538405964832768,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Bronsays,1,TRUE,FALSE,NA,NA
"RT @Efreet69: Random question: Why does the guy that pardoned Nixon have an aircraft carrier named after him? #USSGeraldRFord
.
.
#USSAbrah…",FALSE,0,NA,2019-05-06T23:10:36Z,FALSE,NA,1125538380392144899,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Alpha_Omega_Yah,1,TRUE,FALSE,NA,NA
"RT @DrDenaGrayson: 🚨BREAKING: after Bill Barr *refused* to turn over the unredacted #MuellerReport to Congress today, @HouseJudiciary Chair…",FALSE,0,NA,2019-05-06T23:10:32Z,FALSE,NA,1125538366026596357,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",JackieCreech4,2407,TRUE,FALSE,NA,NA
"#MuellerReport is clear:

RUSSIA INTERFERED WITH OUR ELECTION in 2016

We Have Done NOTHING as a country, and our p… https://t.co/fvPmMvZ841",FALSE,0,NA,2019-05-06T23:10:29Z,TRUE,NA,1125538354626535425,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",outward_rant,0,FALSE,FALSE,NA,NA
"RT @DrDenaGrayson: 🚨BREAKING: after Bill Barr *refused* to turn over the unredacted #MuellerReport to Congress today, @HouseJudiciary Chair…",FALSE,0,NA,2019-05-06T23:10:22Z,FALSE,NA,1125538322942656512,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Stewar1W,2407,TRUE,FALSE,NA,NA
"RT @axidentaliberal: Hey @realDonaldTrump 

If the #MuellerReport found no collusion and no obstruction

If it is a complete and total exon…",FALSE,0,NA,2019-05-06T23:10:11Z,FALSE,NA,1125538276365021190,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",JaneVoter2018,99,TRUE,FALSE,NA,NA
"Random question: Why does the guy that pardoned Nixon have an aircraft carrier named after him? #USSGeraldRFord
.
.… https://t.co/PAJvZh6Lky",FALSE,0,NA,2019-05-06T23:10:01Z,TRUE,NA,1125538233826316288,NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Efreet69,1,FALSE,FALSE,NA,NA
"RT @DrDenaGrayson: 🚨BREAKING: after Bill Barr *refused* to turn over the unredacted #MuellerReport to Congress today, @HouseJudiciary Chair…",FALSE,0,NA,2019-05-06T23:10:00Z,FALSE,NA,1125538232438022145,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",bmartin7781,2407,TRUE,FALSE,NA,NA
"RT @SallyDeal4: @realDonaldTrump @ArmyWP_Football Judge Napolitano is #FoxNews's judicial analyst. Unlike #Barr &amp; #DictatorDon, he actually…",FALSE,0,NA,2019-05-06T23:09:51Z,FALSE,NA,1125538192248143873,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FeddiUp,11,TRUE,FALSE,NA,NA
"@cnnbrk @realDonaldTrump #TrumpsScaredOfMueller and he should be.
#TrumpResign 
#TrumpObstructed… https://t.co/hGoJs03Fyg",FALSE,0,cnnbrk,2019-05-06T23:09:49Z,TRUE,1125461231844888577,1125538186577567745,428333,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",HarryRGreen1,0,FALSE,FALSE,NA,NA
"RT @with_integrity: The Mueller Report - Expensive Estimations And Elusive Evidence

https://t.co/pmojxdGpHq

#Guccifer2 #RussiaGate #Muell…",FALSE,0,NA,2019-05-06T23:09:41Z,FALSE,NA,1125538151294996482,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",tonyvogelsang,87,TRUE,FALSE,NA,NA
"RT @kokanovich: As a prosecutor, I spent years deciding whether to charge individuals for crimes. I would have charged an individual for ob…",FALSE,0,NA,2019-05-06T23:09:39Z,FALSE,NA,1125538145217462272,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",cunat_n,8,TRUE,FALSE,NA,NA
RT @WordswithSteph: @funder Trump would have been charged with obstruction of justice if he were not president. More than 370 former federa…,FALSE,0,NA,2019-05-06T23:09:32Z,FALSE,NA,1125538113927962627,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Bflo_Gal1,30,TRUE,FALSE,NA,NA
"RT @RepDougCollins: With the #MuellerReport public and the investigation over, isn’t it time to move on and refocus on the policies that ha…",FALSE,0,NA,2019-05-06T23:09:31Z,FALSE,NA,1125538111193276417,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Robjenk07Robert,628,TRUE,FALSE,NA,NA
"RT @kokanovich: As a prosecutor, I spent years deciding whether to charge individuals for crimes. I would have charged an individual for ob…",FALSE,0,NA,2019-05-06T23:09:23Z,FALSE,NA,1125538077831827458,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ginscience1,8,TRUE,FALSE,NA,NA
RT @StormIsUponUs: The #MuellerReport itself contained lies! The counter-investigation into FISA abuse will show an elaborate seditious spy…,FALSE,0,NA,2019-05-06T23:09:19Z,FALSE,NA,1125538061025251330,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",CanadianPatri18,2352,TRUE,FALSE,NA,NA
"RT @SallyDeal4: @realDonaldTrump @ArmyWP_Football Judge Napolitano is #FoxNews's judicial analyst. Unlike #Barr &amp; #DictatorDon, he actually…",FALSE,0,NA,2019-05-06T23:08:57Z,FALSE,NA,1125537968431616000,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",SallyDeal4,11,TRUE,FALSE,NA,NA
"RT @larryelder: #MuellerReport

Hat tip: @papagiorgio200 https://t.co/Zb8EuwrpXi",FALSE,0,NA,2019-05-06T23:08:57Z,FALSE,NA,1125537966749900806,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ValverdeMdv,773,TRUE,FALSE,NA,NA
"RT @EarlOfEnough: ❗️BIPARTISAN BLOCKBUSTER❗️

👇🏾

The ONLY reason @realDonaldTrump was not charged with obstruction of justice is because h…",FALSE,0,NA,2019-05-06T23:08:50Z,FALSE,NA,1125537939121897473,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",8SparkyGrl8,110,TRUE,FALSE,NA,NA
"RT @Top_Sergeant: Damn, nothing like a military diversion from the #MuellerReport #TrumpPutinAlliance #MARINESagainstTrump #VeteransAgainst…",FALSE,0,NA,2019-05-06T23:08:39Z,FALSE,NA,1125537891801804803,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",victoraamunds2,78,TRUE,FALSE,NA,NA
